id,merged,dsh1,dshpct,beds,bed_days,medicare_days,medicaid_days,days,employees,medicare_disch,medicaid_disch,discharges,status_cat,state_cat,city_cat,county_cat
281313,0.0,,,12.0,4380.0,1060.0,68.0,1378.0,59.8899993896484,132.0,18.0,220.0,3,31,1087,421
281314,0.0,,,15.0,5475.0,523.0,63.0,725.0,51.7900009155273,112.0,20.0,184.0,3,31,2091,1217
281315,0.0,,,25.0,9125.0,1752.0,192.0,2279.0,141.660003662109,325.0,37.0,466.0,2,31,2748,1098
281316,0.0,,,13.0,4745.0,603.0,26.0,660.0,35.4300003051758,71.0,2.0,80.0,2,31,2335,1662
281317,0.0,,,20.0,7320.0,557.0,,1595.0,28.3799991607666,52.0,,79.0,2,31,2817,40
281318,0.0,,,20.0,7300.0,338.0,3.0,403.0,58.3199996948242,62.0,2.0,87.0,2,31,342,1024
281319,0.0,,,25.0,9150.0,1098.0,74.0,1596.0,113.379997253418,204.0,20.0,333.0,2,31,899,755
281320,0.0,,,14.0,5124.0,1029.0,93.0,1417.0,198.580001831055,146.0,28.0,267.0,3,31,134,640
281321,0.0,,,17.0,6222.0,470.0,12.0,558.0,41.0699996948242,107.0,4.0,134.0,3,31,2028,208
281322,0.0,,,25.0,9150.0,1966.0,96.0,2785.0,140.559997558594,289.0,16.0,473.0,3,31,3041,455
281323,0.0,,,25.0,9125.0,376.0,12.0,524.0,68.9000015258789,69.0,6.0,116.0,3,31,2524,343
281324,0.0,,,20.0,7300.0,1093.0,11.0,1189.0,79.4000015258789,121.0,6.0,160.0,2,31,130,1056
281325,0.0,,,23.0,8395.0,988.0,12.0,1158.0,66.8300018310547,96.0,16.0,137.0,2,31,19,189
281326,0.0,,,20.0,7300.0,1692.0,32.0,2068.0,94.4199981689453,121.0,12.0,226.0,2,31,1935,40
281327,0.0,,,21.0,7665.0,912.0,144.0,1633.0,88.3300018310547,146.0,41.0,329.0,3,31,634,421
281328,0.0,,,20.0,7300.0,1346.0,40.0,1602.0,79.1500015258789,217.0,17.0,297.0,2,31,468,983
281329,0.0,,,25.0,9125.0,2545.0,366.0,3775.0,212.869995117188,445.0,57.0,775.0,3,31,2065,695
281330,0.0,,,12.0,4392.0,401.0,2.0,562.0,35.0,12.0,1.0,19.0,2,31,1000,1336
281331,0.0,,,23.0,8395.0,1187.0,20.0,1423.0,59.0,151.0,9.0,203.0,3,31,639,815
281332,0.0,,,20.0,7300.0,1578.0,91.0,2265.0,99.0100021362305,238.0,31.0,423.0,3,31,692,209
281333,0.0,,,24.0,8760.0,532.0,3.0,1263.0,51.2599983215332,117.0,1.0,166.0,3,31,172,1299
281334,0.0,,,25.0,9150.0,2224.0,146.0,3172.0,158.940002441406,350.0,40.0,588.0,2,31,31,156
281335,0.0,,,12.0,4380.0,791.0,8.0,891.0,35.1399993896484,174.0,2.0,209.0,3,31,406,399
281336,0.0,,,25.0,9150.0,1788.0,279.0,2961.0,232.330001831055,451.0,73.0,843.0,2,31,3159,1735
281338,0.0,,,25.0,9125.0,1446.0,103.0,2245.0,113.319999694824,189.0,32.0,310.0,4,31,2462,705
281339,0.0,,,24.0,8823.0,2305.0,95.0,3369.0,155.320007324219,315.0,14.0,594.0,2,31,2557,1398
281340,0.0,,,14.0,5110.0,355.0,11.0,854.0,59.5800018310547,61.0,3.0,86.0,3,31,222,468
